customEvent:pnr,customEvent:storage_source,customEvent:full_journey,Date,totalRevenue
5JPDJ6,skyscanner,SEL-SAI:SAI-SEL,20240508,255385860.0
5KTHIN,skyscanner,HAN-LON:LON-HAN,20240508,117464990.0
5L4NLO,skyscanner,SGN-LON,20240508,108015496.0
5KW58D,skyscanner,DLI-NGO:OSA-DLI,20240508,103484880.0
5KNTZK,skyscanner,HAN-SYD,20240508,76031130.0
5KT4V4,skyscanner,KHH-SGN:SGN-KHH,20240508,53280692.0
5LKMDB,skyscanner,SGN-SHA,20240508,45322424.0
5KAO9V,skyscanner,MEL-HAN,20240508,35522410.0
5LFF8R,skyscanner,HAN-SEL,20240508,26277062.0
5L5CTC,skyscanner,SGN-BOM,20240508,23505920.0
5LFTVQ,skyscanner,HUI-HAN,20240508,12617818.0
5JXJWT,KAYAK,SGN-SIN,20240508,12084442.0
5JXAWD,skyscanner,HAN-SGN,20240508,9786314.0
5LS9NS,skyscanner,SGN-HUI,20240508,6790384.5
5L6RUL,skyscanner,SGN-NHA,20240508,5405722.5
5QNT8F,skyscanner,PAR-HAN:SGN-PAR,20240509,224589060.0
5R8DWN,KAYAK,HAN-LON,20240509,114832230.0
5RCDUW,skyscanner,FRA-SGN:SGN-FRA,20240509,89884150.0
5PAHEB,skyscanner,SEL-SGN:SGN-SEL,20240509,66666132.0
